solver,n,time_seconds,memory_kb,cost,route
Força Bruta,2,6.539999958476983e-05,1.6875,104,P1 P2
Força Bruta,3,0.00011520000043674372,2.2890625,144,P2 P3 P1
Força Bruta,4,0.00025129999994533136,2.6015625,124,P3 P2 P1 P4
Força Bruta,5,0.0009376000016345643,3.609375,112,P4 P5 P3 P1 P2
Força Bruta,6,0.005219200000283308,4.078125,136,P3 P5 P2 P1 P6 P4
Força Bruta,7,0.03849429999900167,5.8984375,178,P6 P7 P4 P5 P1 P3 P2
Força Bruta,8,0.300582800002303,6.2890625,164,P4 P3 P6 P7 P1 P5 P2 P8
Força Bruta,9,2.8775704999970912,10.859375,188,P1 P4 P7 P8 P6 P5 P9 P3 P2
Força Bruta,10,31.434208800001215,10.6015625,214,P9 P2 P8 P3 P1 P6 P4 P10 P7 P5
DFS com Poda,2,6.289999873843044e-05,1.9765625,104,P2 P1
DFS com Poda,3,0.00010060000204248354,2.640625,144,P2 P3 P1
DFS com Poda,4,0.0002461000003677327,2.8515625,124,P4 P1 P2 P3
DFS com Poda,5,0.0008922000015445519,4.1875,112,P2 P1 P3 P5 P4
DFS com Poda,6,0.004193299999315059,5.3984375,136,P3 P5 P2 P1 P6 P4
DFS com Poda,7,0.02132530000017141,9.96875,178,P2 P3 P1 P5 P4 P7 P6
DFS com Poda,8,0.16583689999970375,11.6796875,164,P8 P2 P5 P1 P7 P6 P3 P4
DFS com Poda,9,0.7908119999992778,15.875,188,P2 P3 P9 P5 P6 P8 P7 P4 P1
DFS com Poda,10,2.641195799998968,17.8203125,214,P9 P2 P8 P3 P1 P6 P4 P10 P7 P5
DFS com Poda,11,16.92554210000162,14.46875,204,P9 P5 P11 P1 P8 P3 P4 P7 P10 P6 P2
DFS com Poda,12,58.82415989999936,13.6484375,202,P2 P7 P4 P11 P1 P8 P6 P12 P3 P9 P5 P10
DFS com Poda,13,195.85184769999978,18.78125,208,P2 P13 P4 P9 P8 P3 P7 P6 P10 P1 P11 P5 P12
MST + Poda,2,0.00012550000246847048,3.6484375,104,P2 P1
MST + Poda,3,0.00017289999959757552,4.890625,144,P1 P3 P2
MST + Poda,4,0.00030980000155977905,7.125,124,P4 P1 P2 P3
MST + Poda,5,0.0006853000013506971,12.234375,112,P4 P5 P3 P1 P2
MST + Poda,6,0.002006200000323588,23.03125,136,P3 P5 P2 P1 P6 P4
MST + Poda,7,0.0034836000013456214,34.5390625,178,P2 P3 P1 P5 P4 P7 P6
MST + Poda,8,0.014518800002406351,89.9140625,164,P8 P2 P5 P1 P7 P6 P3 P4
MST + Poda,9,0.008370999999897322,88.8203125,188,P2 P3 P9 P5 P6 P8 P7 P4 P1
MST + Poda,10,0.010110100000019884,89.4609375,214,P9 P2 P8 P3 P1 P6 P4 P10 P7 P5
MST + Poda,11,0.08578770000167424,488.7734375,204,P2 P6 P10 P7 P4 P3 P8 P1 P11 P5 P9
MST + Poda,12,0.07332289999976638,534.3515625,202,P2 P7 P4 P11 P1 P8 P6 P12 P3 P9 P5 P10
MST + Poda,13,0.015167499997915002,128.6796875,208,P2 P13 P4 P9 P8 P3 P7 P6 P10 P1 P11 P5 P12
MST + Poda,14,0.11296279999805847,711.859375,206,P2 P6 P4 P7 P1 P13 P10 P3 P14 P12 P8 P5 P9 P11
MST + Poda,15,0.47682070000155363,2656.1171875,214,P1 P9 P15 P10 P3 P11 P4 P13 P6 P8 P12 P14 P2 P5 P7
MST + Poda,16,0.2549370999986422,1248.5625,222,P7 P3 P11 P2 P9 P16 P12 P14 P13 P4 P15 P6 P1 P5 P8 P10
MST + Poda,17,1.0915903999994043,2909.609375,246,P2 P13 P15 P17 P4 P9 P14 P16 P1 P12 P6 P11 P3 P7 P5 P10 P8
MST + Poda,18,0.8677505999985442,2593.5390625,220,P10 P17 P4 P14 P12 P9 P16 P15 P2 P1 P7 P5 P6 P11 P3 P13 P8 P18
MST + Poda,19,28.48713729999872,50226.9609375,216,P6 P8 P14 P11 P15 P12 P2 P1 P13 P7 P16 P9 P5 P19 P10 P18 P4 P3 P17
MST + Poda,20,4.7190593000013905,8110.9765625,222,P10 P3 P20 P18 P7 P8 P17 P4 P9 P11 P12 P19 P6 P2 P1 P5 P14 P13 P16 P15
MST + Poda,21,2.0530427000012423,4991.546875,260,P9 P8 P19 P12 P7 P11 P6 P3 P16 P14 P17 P4 P2 P21 P1 P5 P18 P15 P20 P10 P13
Algoritmo Genético,2,0.13438479999967967,11.3359375,104,P2 P1
Algoritmo Genético,3,0.15138450000085868,11.8984375,144,P1 P3 P2
Algoritmo Genético,4,0.17317949999778648,13.8046875,124,P3 P2 P1 P4
